# Time (s), DUT (V)
4.300860344137660241e-09,2.037160070424680076e-03
4.320864345738300187e-09,1.811021741451759913e-03
4.340868347338940132e-09,1.683968732283619906e-03
4.360872348939580078e-09,1.647510432192980006e-03
4.380876350540220023e-09,1.688482360654449928e-03
4.400880352140859969e-09,1.790122926904129949e-03
4.420884353741499914e-09,1.933329567606219962e-03
4.440888355342139860e-09,2.098013051904179874e-03
4.460892356942779805e-09,2.264464473387429837e-03
4.480896358543419751e-09,2.414650473724629792e-03
4.500900360144059696e-09,2.533358423091160074e-03
4.520904361744699642e-09,2.609124160574410097e-03
4.540908363345339587e-09,2.634889732691100134e-03
4.560912364945980360e-09,2.608356382773800112e-03
4.580916366546620305e-09,2.532017690116500092e-03
4.600920368147260251e-09,2.412877987733199822e-03
4.620924369747900196e-09,2.261880735167680172e-03
4.640928371348540142e-09,2.093089180660250015e-03
4.660932372949180087e-09,1.922676343281870060e-03
4.680936374549820033e-09,1.767792208059390047e-03
4.700940376150459978e-09,1.645382436554040017e-03
4.720944377751099924e-09,1.571034520907889972e-03
4.740948379351739869e-09,1.557924126073470051e-03
4.760952380952379815e-09,1.615926652046420064e-03
4.780956382553019760e-09,1.750947366269260024e-03
4.800960384153659705e-09,1.964508611538759962e-03
4.820964385754299651e-09,2.253615580246239990e-03
4.840968387354939596e-09,2.610904080519969861e-03
4.860972388955580369e-09,3.025055772571669851e-03
4.880976390556220315e-09,3.481449669936170083e-03
4.900980392156860260e-09,3.963004327985329873e-03
4.920984393757500205e-09,4.451153966583910361e-03
4.940988395358140151e-09,4.926894461288930036e-03
4.960992396958780096e-09,5.371832096978660341e-03
4.980996398559420042e-09,5.769169335502679664e-03
5.001000400160059987e-09,6.104567444379780349e-03
5.021004401760699933e-09,6.366835233397600234e-03
5.041008403361339878e-09,6.548405673858090185e-03
5.061012404961989750e-09,6.645576959756270378e-03
5.081016406562629695e-09,6.658510602716900123e-03
5.101020408163269641e-09,6.590995355099879723e-03
5.121024409763910414e-09,6.450001051295229694e-03
5.141028411364550359e-09,6.245059842105969879e-03
5.161032412965190305e-09,5.987522904080639675e-03
5.181036414565830250e-09,5.689747861733219711e-03
5.201040416166470195e-09,5.364275429136899573e-03
5.221044417767110141e-09,5.023052985261140108e-03
5.241048419367750086e-09,4.676758045128840378e-03
5.261052420968390032e-09,4.334266241251860316e-03
5.281056422569029977e-09,4.002297092224550192e-03
5.301060424169669923e-09,3.685257309039520045e-03
5.321064425770309868e-09,3.385286621750339953e-03
5.341068427370949814e-09,3.102496124252309990e-03
5.361072428971589759e-09,2.835374970856350055e-03
5.381076430572229705e-09,2.581328893103719806e-03
5.401080432172869650e-09,2.337304294328869988e-03
5.421084433773509596e-09,2.100445296526969909e-03
5.441088435374150368e-09,1.868728507836809986e-03
5.461092436974790314e-09,1.641521640616860076e-03
5.481096438575430259e-09,1.420017362690459894e-03
5.501100440176070205e-09,1.207502564568129931e-03
5.521104441776710150e-09,1.009434988376769994e-03
5.541108443377350096e-09,8.333130989757699851e-04
5.561112444977990041e-09,6.883402420449180300e-04
5.581116446578629987e-09,5.848994935082579665e-04
5.601120448179269932e-09,5.338701044599410053e-04
5.621124449779909878e-09,5.458290775882040447e-04
5.641128451380549823e-09,6.301912829563650420e-04
5.661132452981189769e-09,7.943566111917610157e-04
5.681136454581829714e-09,1.042823064206560004e-03
5.701140456182469659e-09,1.376373185353240098e-03
5.721144457783109605e-09,1.792758716475019920e-03
5.741148459383750378e-09,2.284909618970010128e-03
5.761152460984390323e-09,2.840226818928579845e-03
5.781156462585030269e-09,3.443535828551609872e-03
5.801160464185670214e-09,4.075650060312819949e-03
5.821164465786310160e-09,4.714467147784009819e-03
5.841168467386960031e-09,5.336048704161860251e-03
5.861172468987599977e-09,5.915722957896120057e-03
5.881176470588239922e-09,6.429319957789850215e-03
5.901180472188879868e-09,6.854439768836239830e-03
5.921184473789519813e-09,7.171679372027209634e-03
5.941188475390159759e-09,7.365744378210949996e-03
5.961192476990799704e-09,7.426376684896400168e-03
5.981196478591439649e-09,7.349038602336770316e-03
6.001200480192079595e-09,7.135307227061140310e-03
6.021204481792720368e-09,6.792949173179240428e-03
6.041208483393360313e-09,6.335664206341040140e-03
6.061212484994000259e-09,5.782505742657250217e-03
6.081216486594640204e-09,5.157005381675909723e-03
6.101220488195280149e-09,4.486046448134260213e-03
6.121224489795920095e-09,3.798546807748669901e-03
6.141228491396560040e-09,3.124023032996550014e-03
