Column1,Column2
9.06181E-09,0.025402546
9.08182E-09,0.030834095
9.10182E-09,0.035257104
9.12182E-09,0.038650904
9.14183E-09,0.041034811
9.16183E-09,0.042464514
9.18184E-09,0.043026765
9.20184E-09,0.042832691
9.22184E-09,0.042010109
9.24185E-09,0.040695281
9.26185E-09,0.039024582
9.28186E-09,0.037126526
9.30186E-09,0.035114614
9.32186E-09,0.033081376
9.34187E-09,0.031093925
9.36187E-09,0.029191268
9.38188E-09,0.027383484
9.40188E-09,0.025652803
9.42188E-09,0.023956491
9.44189E-09,0.022231353
9.46189E-09,0.020399578
9.4819E-09,0.018375556
9.5019E-09,0.016073267
9.5219E-09,0.013413788
9.54191E-09,0.010332481
9.56191E-09,0.00678542
9.58192E-09,0.002754669
9.60192E-09,-0.001747897
9.62192E-09,-0.006678484
9.64193E-09,-0.011961118
9.66193E-09,-0.017489277
9.68194E-09,-0.02312934
9.70194E-09,-0.028725701
9.72194E-09,-0.034107273
9.74195E-09,-0.039095055
9.76195E-09,-0.043510361
9.78196E-09,-0.047183286
9.80196E-09,-0.049960955
9.82196E-09,-0.051715127
9.84197E-09,-0.052348752
9.86197E-09,-0.051801147
9.88198E-09,-0.050051513
9.90198E-09,-0.047120618
9.92198E-09,-0.043070563
9.94199E-09,-0.038002648
9.96199E-09,-0.032053463
9.982E-09,-0.02538939
1.0002E-08,-0.018199824
1.0022E-08,-0.010689452
1.0042E-08,-0.003069976
1.0062E-08,0.004448303
1.0082E-08,0.011664623
1.0102E-08,0.018395249
1.0122E-08,0.024479951
1.0142E-08,0.029787194
1.0162E-08,0.03421783
1.0182E-08,0.037707174
1.0202E-08,0.040225401
1.0222E-08,0.041776349
1.0242E-08,0.042394835
1.02621E-08,0.0421427
1.02821E-08,0.041103849
1.03021E-08,0.0393786
1.03221E-08,0.037077667
1.03421E-08,0.034316127
1.03621E-08,0.031207689
1.03821E-08,0.027859575
1.04021E-08,0.024368241
1.04221E-08,0.020816146
1.04421E-08,0.017269684
1.04621E-08,0.013778322
1.04821E-08,0.010374921
1.05021E-08,0.007077155
1.05221E-08,0.003889854
1.05421E-08,0.000808078
1.05621E-08,-0.002179323
1.05821E-08,-0.005085939
1.06021E-08,-0.007924075
1.06221E-08,-0.010701339
1.06421E-08,-0.013417769
1.06621E-08,-0.016063696
1.06821E-08,-0.018618476
1.07021E-08,-0.021050174
1.07221E-08,-0.02331623
1.07421E-08,-0.025365044
1.07622E-08,-0.027138405
1.07822E-08,-0.028574587
1.08022E-08,-0.02961193
1.08222E-08,-0.030192682
1.08422E-08,-0.030266856
1.08622E-08,-0.02979586
1.08822E-08,-0.028755689
1.09022E-08,-0.027139446
1.09222E-08,-0.024959055
1.09422E-08,-0.022246044
1.09622E-08,-0.019051326
1.09822E-08,-0.01544398
1.10022E-08,-0.011509088
1.10222E-08,-0.007344726
1.10422E-08,-0.003058266
1.10622E-08,0.001237823
1.10822E-08,0.005430449
1.11022E-08,0.009410423
1.11222E-08,0.013076802
1.11422E-08,0.016340817
1.11622E-08,0.0191292
1.11822E-08,0.021386742
1.12022E-08,0.02307796
1.12222E-08,0.02418781
1.12422E-08,0.024721421
1.12623E-08,0.024702887
1.12823E-08,0.024173215
1.13023E-08,0.023187541
1.13223E-08,0.02181179
1.13423E-08,0.020118984
1.13623E-08,0.018185387
1.13823E-08,0.016086714
1.14023E-08,0.013894607
1.14223E-08,0.01167356
1.14423E-08,0.009478444
1.14623E-08,0.007352759
1.14823E-08,0.005327676
1.15023E-08,0.003421896
1.15223E-08,0.001642312
1.15423E-08,-1.46065E-05
1.15623E-08,-0.001560809
1.15823E-08,-0.003014185
1.16023E-08,-0.004395783
1.16223E-08,-0.005726909
1.16423E-08,-0.007026295
1.16623E-08,-0.008307531
1.16823E-08,-0.009576912
1.17023E-08,-0.010831853
1.17223E-08,-0.012059975
1.17423E-08,-0.013238926
1.17624E-08,-0.014336964
1.17824E-08,-0.015314275
1.18024E-08,-0.016124962
1.18224E-08,-0.016719592
1.18424E-08,-0.017048175
1.18624E-08,-0.017063383
1.18824E-08,-0.016723849
1.19024E-08,-0.015997339
1.19224E-08,-0.014863609
1.19424E-08,-0.013316778
1.19624E-08,-0.011367069
1.19824E-08,-0.009041781
1.20024E-08,-0.006385435
