# Time (s), DUT (V)
6.441288515406160050e-09,3.696841136252230174e-03
6.461292517006799995e-09,3.611031321720360211e-03
6.481296518607439941e-09,3.489252154270689951e-03
6.501300520208079886e-09,3.340433134530240104e-03
6.521304521808719832e-09,3.175701331002120202e-03
6.541308523409359777e-09,3.007600191866729999e-03
6.561312525009999723e-09,2.849205895310410065e-03
6.581316526610639668e-09,2.713198513696420035e-03
6.601320528211279613e-09,2.610948878997050148e-03
6.621324529811920386e-09,2.551681821995219809e-03
6.641328531412560332e-09,2.541772370342169993e-03
6.661332533013210203e-09,2.584223728189350040e-03
6.681336534613850149e-09,2.678364853391929958e-03
6.701340536214490094e-09,2.819791840155330166e-03
6.721344537815130040e-09,3.000561921938929826e-03
6.741348539415769985e-09,3.209632675158200204e-03
6.761352541016409931e-09,3.433522941642249901e-03
6.781356542617049876e-09,3.657157117539500124e-03
6.801360544217689822e-09,3.864841742462900125e-03
6.821364545818329767e-09,4.041313611467849815e-03
6.841368547418969713e-09,4.172792597746940307e-03
6.861372549019609658e-09,4.247970470324599797e-03
6.881376550620249603e-09,4.258869423683309986e-03
6.901380552220890376e-09,4.201510740643859924e-03
6.921384553821530322e-09,4.076344653095909792e-03
6.941388555422170267e-09,3.888406460327279834e-03
6.961392557022810213e-09,3.647180503021180131e-03
6.981396558623450158e-09,3.366171688051860112e-03
7.001400560224090103e-09,3.062202813209599899e-03
7.021404561824730049e-09,2.754473798402190185e-03
7.041408563425369994e-09,2.463434957355199913e-03
7.061412565026009940e-09,2.209539597872180097e-03
7.081416566626649885e-09,2.011950633509849810e-03
7.101420568227289831e-09,1.887280854012229935e-03
7.121424569827929776e-09,1.848446626216849976e-03
7.141428571428569722e-09,1.903709963431639979e-03
7.161432573029209667e-09,2.055974295559359882e-03
7.181436574629849613e-09,2.302385380644669972e-03
7.201440576230490385e-09,2.634271381186420197e-03
7.221444577831130331e-09,3.037436180298799891e-03
7.241448579431770276e-09,3.492798703966619889e-03
7.261452581032410222e-09,3.977349626193580311e-03
7.281456582633050167e-09,4.465376674005660379e-03
7.301460584233690113e-09,4.929892082298410229e-03
7.321464585834330058e-09,5.344181709953669569e-03
7.341468587434970004e-09,5.683385856346069576e-03
7.361472589035609949e-09,5.926017588644550207e-03
7.381476590636249895e-09,6.055325776562900213e-03
7.401480592236899766e-09,6.060417069749940433e-03
7.421484593837539712e-09,5.937063436852580388e-03
7.441488595438179657e-09,5.688138977982160234e-03
7.461492597038820430e-09,5.323650588357579753e-03
7.481496598639460375e-09,4.860350508133579744e-03
7.501500600240100321e-09,4.320943480786360209e-03
7.521504601840740266e-09,3.732925697851999930e-03
7.541508603441380212e-09,3.127115456537519784e-03
7.561512605042020157e-09,2.535955099172859922e-03
7.581516606642660103e-09,1.991679101532379832e-03
7.601520608243300048e-09,1.524453131753430047e-03
7.621524609843939994e-09,1.160592816635039977e-03
7.641528611444579939e-09,9.209684818994239930e-04
7.661532613045219885e-09,8.196933080699410042e-04
7.681536614645859830e-09,8.631775755558060512e-04
7.701540616246499776e-09,1.049611735287280054e-03
7.721544617847139721e-09,1.368917029818929971e-03
7.741548619447779667e-09,1.803175660286440067e-03
7.761552621048419612e-09,2.327524586594480107e-03
7.781556622649059557e-09,2.911469595070850097e-03
7.801560624249699503e-09,3.520550901538460099e-03
7.821564625850339448e-09,4.118269810130530291e-03
7.841568627450979394e-09,4.668169159064089815e-03
7.861572629051619339e-09,5.135949519287179993e-03
7.881576630652259285e-09,5.491499093085660220e-03
7.901580632252899230e-09,5.710718321712819623e-03
7.921584633853539176e-09,5.777030273050419787e-03
7.941588635454180776e-09,5.682484447163050310e-03
7.961592637054820721e-09,5.428383824188210034e-03
7.981596638655460667e-09,5.025391557087199867e-03
8.001600640256100612e-09,4.493103180177859639e-03
8.021604641856740558e-09,3.859100873534550107e-03
8.041608643457380503e-09,3.157536414374930052e-03
8.061612645058020448e-09,2.427317194671329854e-03
8.081616646658660394e-09,1.709968380860989959e-03
8.101620648259300339e-09,1.047842379733690023e-03
8.121624649859940285e-09,4.802338522057019972e-04
8.141628651460580230e-09,4.203284468679560008e-05
8.161632653061220176e-09,-2.358260873128170123e-04
8.181636654661870047e-09,-3.323725802116789902e-04
8.201640656262509993e-09,-2.373903728978700011e-04
8.221644657863149938e-09,5.262185028429959701e-05
8.241648659463789884e-09,5.281858371317040435e-04
8.261652661064429829e-09,1.170550459887899917e-03
8.281656662665069775e-09,1.951709075473749902e-03
8.301660664265709720e-09,2.835874802928789809e-03
8.321664665866349666e-09,3.781327262502479948e-03
8.341668667466989611e-09,4.742597220109439661e-03
8.361672669067629557e-09,5.672868592581360031e-03
8.381676670668269502e-09,6.526464500123820012e-03
8.401680672268909448e-09,7.261278888781350083e-03
8.421684673869549393e-09,7.841018013391449354e-03
8.441688675470189339e-09,8.237126631510419475e-03
8.461692677070829284e-09,8.430291518599829226e-03
8.481696678671469230e-09,8.411438857694249205e-03
8.501700680272109175e-09,8.182170803320060540e-03
8.521704681872750775e-09,7.754618406236859704e-03
8.541708683473390720e-09,7.150721263124829724e-03
